phase,supplier,unit,horizon,segment,model,n,sku_count,actual_qty,predicted_qty,wape_pct,bias_pct,underforecast_pct,overforecast_pct,zero_actual_pct,mae
retrospective_2026,IEK,шт,28,regular,sultan_mean59,3717,745,838008.0,840979.525,38.57,0.355,19.108,19.462,6.511,86.95785283375056
retrospective_2026,IEK,шт,28,regular,mean28,3717,745,838008.0,855581.0,42.701,2.097,20.302,22.399,6.511,96.27037933817594
retrospective_2026,IEK,шт,28,regular,weekly_ewma,3717,745,838008.0,848519.804,39.268,1.254,19.007,20.261,6.511,88.53174044698302
retrospective_2026,IEK,шт,28,regular,robust_ewma,3717,745,838008.0,755630.052,36.446,-9.83,23.138,13.308,6.511,82.16885095044033
retrospective_2026,IEK,шт,28,regular,baseline_selected,3717,745,838008.0,755630.052,36.446,-9.83,23.138,13.308,6.511,82.16885095044033
retrospective_2026,IEK,шт,28,regular,sba_selected,3717,745,838008.0,834830.29,36.534,-0.379,18.457,18.078,6.511,82.36750284598659
retrospective_2026,IEK,шт,28,regular,tsb_selected,3717,745,838008.0,858036.497,37.481,2.39,17.545,19.936,6.511,84.50197503795506
retrospective_2026,IEK,м,28,all,sultan_mean59,857,109,263396.0,254111.39,65.991,-3.525,34.758,31.233,38.74,202.8224591104167
retrospective_2026,IEK,м,28,all,mean28,857,109,263396.0,269640.0,76.429,2.371,37.029,39.4,38.74,234.9031505250875
retrospective_2026,IEK,м,28,all,weekly_ewma,857,109,263396.0,264672.17,70.07,0.485,34.793,35.277,38.74,215.3589650832598
retrospective_2026,IEK,м,28,all,robust_ewma,857,109,263396.0,203548.366,64.977,-22.722,43.849,21.128,38.74,199.7032124383061
retrospective_2026,IEK,м,28,all,baseline_selected,857,109,263396.0,203548.366,64.977,-22.722,43.849,21.128,38.74,199.7032124383061
retrospective_2026,IEK,м,28,all,sba_selected,857,109,263396.0,278355.054,69.748,5.679,32.034,37.713,38.74,214.36686902590895
retrospective_2026,IEK,м,28,all,tsb_selected,857,109,263396.0,263717.512,64.749,0.122,32.314,32.436,38.74,199.00485034264787
retrospective_2026,IEK,м,28,regular,sultan_mean59,341,60,243938.0,238981.898,62.28,-2.032,32.156,30.124,4.692,445.5241314180626
retrospective_2026,IEK,м,28,regular,mean28,341,60,243938.0,257178.0,72.061,5.428,33.317,38.744,4.692,515.4956011730205
retrospective_2026,IEK,м,28,regular,weekly_ewma,341,60,243938.0,252375.411,66.177,3.459,31.359,34.818,4.692,473.4042692990725
retrospective_2026,IEK,м,28,regular,robust_ewma,341,60,243938.0,192790.793,61.155,-20.967,41.061,20.094,4.692,437.4779940811648
retrospective_2026,IEK,м,28,regular,baseline_selected,341,60,243938.0,192790.793,61.155,-20.967,41.061,20.094,4.692,437.4779940811648
