phase,supplier,unit,horizon,segment,model,n,sku_count,actual_qty,predicted_qty,wape_pct,bias_pct,underforecast_pct,overforecast_pct,zero_actual_pct
validation_2025,IEK,упак,7,regular,sultan_mean59,131,33,5570.0,5798.254,48.915,4.098,22.408,26.506,29.771
validation_2025,IEK,упак,7,regular,mean28,131,33,5570.0,5911.25,58.407,6.127,26.14,32.267,29.771
validation_2025,IEK,упак,7,regular,weekly_ewma,131,33,5570.0,5939.724,55.115,6.638,24.239,30.877,29.771
validation_2025,IEK,упак,7,regular,robust_ewma,131,33,5570.0,5253.915,49.775,-5.675,27.725,22.05,29.771
validation_2025,IEK,упак,7,regular,seasonal364,131,33,5570.0,5939.724,55.115,6.638,24.239,30.877,29.771
validation_2025,IEK,упак,7,regular,seasonal_blend,131,33,5570.0,5939.724,55.115,6.638,24.239,30.877,29.771
validation_2025,IEK,упак,7,regular,selected_2025,131,33,5570.0,5798.254,48.915,4.098,22.408,26.506,29.771
validation_2025,IEK,шт,28,all,sultan_mean59,8789,1619,798979.0,791662.034,36.804,-0.916,18.86,17.944,38.355
validation_2025,IEK,шт,28,all,mean28,8789,1619,798979.0,810849.0,40.0,1.486,19.257,20.743,38.355
validation_2025,IEK,шт,28,all,weekly_ewma,8789,1619,798979.0,819235.117,38.193,2.535,17.829,20.364,38.355
validation_2025,IEK,шт,28,all,robust_ewma,8789,1619,798979.0,749359.734,36.057,-6.21,21.134,14.923,38.355
validation_2025,IEK,шт,28,all,seasonal364,8789,1619,798979.0,819235.117,38.193,2.535,17.829,20.364,38.355
validation_2025,IEK,шт,28,all,seasonal_blend,8789,1619,798979.0,819235.117,38.193,2.535,17.829,20.364,38.355
validation_2025,IEK,шт,28,all,selected_2025,8789,1619,798979.0,749359.734,36.057,-6.21,21.134,14.923,38.355
validation_2025,IEK,шт,28,intermittent,sultan_mean59,5658,1293,39220.0,27405.831,105.169,-30.123,67.646,37.523,56.698
validation_2025,IEK,шт,28,intermittent,mean28,5658,1293,39220.0,27448.0,112.448,-30.015,71.232,41.216,56.698
validation_2025,IEK,шт,28,intermittent,weekly_ewma,5658,1293,39220.0,28268.874,110.196,-27.922,69.059,41.137,56.698
validation_2025,IEK,шт,28,intermittent,robust_ewma,5658,1293,39220.0,25532.879,107.709,-34.898,71.304,36.405,56.698
validation_2025,IEK,шт,28,intermittent,seasonal364,5658,1293,39220.0,28268.874,110.196,-27.922,69.059,41.137,56.698
validation_2025,IEK,шт,28,intermittent,seasonal_blend,5658,1293,39220.0,28268.874,110.196,-27.922,69.059,41.137,56.698
validation_2025,IEK,шт,28,intermittent,selected_2025,5658,1293,39220.0,25532.879,107.709,-34.898,71.304,36.405,56.698
validation_2025,IEK,шт,28,no_ambiguous_rows_sensitivity,sultan_mean59,8652,1596,668065.0,663432.949,40.053,-0.693,20.373,19.68,38.87
validation_2025,IEK,шт,28,no_ambiguous_rows_sensitivity,mean28,8652,1596,668065.0,678845.0,43.987,1.614,21.187,22.8,38.87
validation_2025,IEK,шт,28,no_ambiguous_rows_sensitivity,weekly_ewma,8652,1596,668065.0,684616.851,42.371,2.478,19.947,22.424,38.87
